工号，姓名，部门，日期，应出勤天数，实际出勤天数，迟到次数，早退次数，请假天数，旷工天数
E001，张伟，销售部，2025-01,22,21,2,0,1,0
E002，李娜，销售部，2025-01,22,22,0,0,0,0
E003，王强，技术部，2025-01,22,20,3,1,0,1
E004，刘芳，技术部，2025-01,22,22,1,0,0,0
E005，陈明，人事部，2025-01,22,21,0,0,1,0
E006，赵敏，财务部，2025-01,22,22,0,1,0,0
E007，孙丽，销售部，2025-01,22,19,4,2,0,1
E008，周杰，技术部，2025-01,22,22,0,0,0,0
E001，张伟，销售部，2025-02,20,19,1,0,1,0
E002，李娜，销售部，2025-02,20,20,0,0,0,0
E003，王强，技术部，2025-02,20,18,2,0,0,2
E004，刘芳，技术部，2025-02,20,20,0,0,0,0
E005，陈明，人事部，2025-02,20,19,1,0,1,0
E006，赵敏，财务部，2025-02,20,20,0,0,0,0
E007，孙丽，销售部，2025-02,20,17,5,1,0,2
E008，周杰，技术部，2025-02,20,19,1,0,1,0
E001，张伟，销售部，2025-03,23,22,1,0,1,0
E002，李娜，销售部，2025-03,23,23,0,0,0,0
E003，王强，技术部，2025-03,23,21,2,1,0,1
E004，刘芳，技术部，2025-03,23,23,0,0,0,0
E005，陈明，人事部，2025-03,23,22,0,0,1,0
E006，赵敏，财务部，2025-03,23,23,1,0,0,0
E007，孙丽，销售部，2025-03,23,20,3,0,0,2
E008，周杰，技术部，2025-03,23,22,0,0,1,0
E001，张伟，销售部，2025-04,21,20,2,1,0,0
E002，李娜，销售部，2025-04,21,21,0,0,0,0
E003，王强，技术部，2025-04,21,19,1,0,2,0
E004，刘芳，技术部，2025-04,21,21,0,0,0,0
E005，陈明，人事部，2025-04,21,20,0,0,1,0
E006，赵敏，财务部，2025-04,21,21,0,0,0,0
E007，孙丽，销售部，2025-04,21,18,4,2,0,1
E008，周杰，技术部，2025-04,21,20,1,0,1,0
E001，张伟，销售部，2025-05,22,21,1,0,1,0
E002，李娜，销售部，2025-05,22,22,0,0,0,0
E003，王强，技术部，2025-05,22,20,2,0,0,1
E004，刘芳，技术部，2025-05,22,22,0,0,0,0
E005，陈明，人事部，2025-05,22,21,1,0,1,0
E006，赵敏，财务部，2025-05,22,22,0,0,0,0
E007，孙丽，销售部，2025-05,22,19,3,1,0,1
E008，周杰，技术部，2025-05,22,21,0,0,1,0
E001，张伟，销售部，2025-06,22,22,0,0,0,0
E002，李娜，销售部，2025-06,22,22,1,0,0,0
E003，王强，技术部，2025-06,22,20,1,1,0,1
E004，刘芳，技术部，2025-06,22,22,0,0,0,0
E005，陈明，人事部，2025-06,22,21,0,0,1,0
E006，赵敏，财务部，2025-06,22,22,0,0,0,0
E007，孙丽，销售部，2025-06,22,18,5,0,0,2
E008，周杰，技术部，2025-06,22,21,1,0,1,0
