学号，姓名，性别，语文，数学，英语，专业基础课，总分
2024001，陈志强，男，85,92,78,88,343
2024002，李梦琪，女，92,88,95,90,365
2024003，王浩然，男，78,85,72,80,315
2024004，张雅婷，女，88,90,88,92,358
2024005，刘宇航，男，72,75,68,70,285
2024006，赵思雨，女，95,96,92,95,378
2024007，孙明轩，男，82,78,80,75,315
2024008，周佳怡，女，90,92,88,90,360
2024009，吴俊杰，男，68,72,65,70,275
2024010，郑欣怡，女，88,85,90,88,351
2024011，冯志远，男，75,80,72,78,305
2024012，蒋雨涵，女，92,90,95,92,369
2024013，韩天宇，男，80,82,78,80,320
2024014，杨紫萱，女，95,93,90,95,373
2024015，朱浩然，男，70,68,65,72,275
2024016，徐梦瑶，女，88,90,92,88,358
2024017，高志鹏，男，82,85,80,82,329
2024018，林诗涵，女，90,88,95,90,363
2024019，何建辉，男，75,78,72,75,300
2024020，郭佳琳，女，93,95,90,93,371
2024021，罗志强，男，78,80,75,78,311
2024022，梁雨薇，女，88,92,88,90,358
2024023，宋文博，男，72,75,70,72,289
2024024，谢婉婷，女，90,88,92,88,358
2024025，唐志远，男，80,82,78,80,320
2024026，董思琪，女，92,90,95,92,369
2024027，袁浩然，男，75,78,72,75,300
2024028，潘雅琪，女，88,90,88,90,356
2024029，于志鹏，男，70,72,68,70,280
2024030，蒋梦洁，女，95,93,90,95,373
